Species,p-value,P_adj,Log2FC,Over-/under-representation
Kocuria flava,4.18913492456474e-14,6.63853339599803e-12,1.8259878186164933,UP
Deinococcus sp  NW 56,6.09039761100736e-14,6.63853339599803e-12,2.1487193622555525,UP
Paracoccus sp  2251,1.14629016204054e-13,8.32970851082795e-12,1.0556942752281897,UP
Paracoccus pantotrophus,6.212638782765349e-13,3.38588813660712e-11,1.0562723329182455,UP
Paracoccus denitrificans,1.61265869439635e-12,7.031191907568089e-11,1.040328755964557,UP
Micropruina glycogenica,2.1993900086725e-12,7.99111703151009e-11,1.2816059167326177,UP
Paracoccus zhejiangensis,4.0677439257935595e-12,1.26681167974714e-10,0.8308105525114975,NEUTRAL
Paracoccus jeotgali,5.28787215772037e-12,1.4409451629788e-10,0.9135880666227204,NEUTRAL
Paracoccus contaminans,6.0327234154767e-12,1.4612596717488001e-10,1.0855053720316103,UP
Kocuria turfanensis,7.163681307759529e-12,1.56168252509158e-10,1.340912188543907,UP
Propioniciclava sp  HDW11,9.6523763023917e-12,1.61862925686261e-10,1.4181761408944098,UP
Paracoccus aminovorans,9.45020117494995e-12,1.61862925686261e-10,0.95725621137559,NEUTRAL
Rhodobacter sphaeroides,8.77172872709997e-12,1.61862925686261e-10,1.1496527904064635,UP
Ornithinimicrobium sp  AMA3305,1.9413988252761198e-11,3.02303531364424e-10,1.0655648423196222,UP
Nocardioides seonyuensis,2.14023261427181e-11,3.0963483106390203e-10,1.358531561268606,UP
Kocuria rosea,2.2725492188176297e-11,3.0963483106390203e-10,1.3503170980385448,UP
Nocardioides sp  HDW12B,2.6489946894018898e-11,3.39694613111536e-10,1.321677753801584,UP
Tessaracoccus flavus,2.8981465860380898e-11,3.50997753197946e-10,1.3252077589571414,UP
Nocardioides sp  CF8,3.09961813541859e-11,3.55640396590133e-10,1.1801230509216951,UP
Nocardioides sp  zg 579,5.6044131913057096e-11,5.3120090248028e-10,1.1434461248343943,UP
Ornithinimicrobium flavum,5.3732877675252296e-11,5.3120090248028e-10,1.1507662188279202,UP
Phycicoccus sp  HDW14,4.91440403562077e-11,5.3120090248028e-10,0.9973166788178104,NEUTRAL
Exiguobacterium mexicanum,5.482489276911419e-11,5.3120090248028e-10,1.3110371867002757,UP
Ornithinimicrobium sp  HY006,7.8282742451105e-11,7.11068243930871e-10,0.9262647620959809,NEUTRAL
Nocardioides sp  JS614,9.98235241103999e-11,8.56708918418883e-10,1.1238125986455252,UP
Paracoccus sp  AK26,1.02176293022436e-10,8.56708918418883e-10,1.0266805784323123,UP
Nocardioides sp  R 3366,1.23250720494348e-10,9.95135446954367e-10,1.1429095223073809,UP
Geodermatophilus obscurus,1.32336363828263e-10,1.03033311837719e-09,2.6162484222928706,UP
Tessaracoccus sp  T2 5 30,1.48257015636299e-10,1.1144837727142502e-09,1.5574695714607325,UP
Serinicoccus sp  JLT9,1.86704517485137e-10,1.3567194937253302e-09,0.6981737406539512,NEUTRAL
Serinicoccus profundi,3.9327927822836003e-10,2.7323733217395303e-09,0.7324184795913702,NEUTRAL
Serinicoccus chungangensis,4.0108232245717803e-10,2.7323733217395303e-09,0.8729338946296039,NEUTRAL
Paracoccus yeei,3.3215609245446e-09,2.19424327742644e-08,0.6931225271973389,NEUTRAL
Janibacter melonis,5.664128905581131e-09,3.63170618063732e-08,0.6120393997766262,NEUTRAL
Chryseobacterium taklimakanense,1.36811840011489e-08,8.52142317785849e-08,0.5305967657252229,NEUTRAL
Serinicoccus marinus,4.22504601447419e-08,2.55850008654271e-07,0.6285487911518715,NEUTRAL
Chroococcidiopsis thermalis,1.17211993597457e-07,6.90600394709343e-07,1.6087086172526712,UP
Lysobacter oculi,5.04303329843259e-07,2.89310857646922e-06,0.4852876751656882,NEUTRAL
Brevundimonas naejangsanensis,5.40555174565458e-07,3.02156482193e-06,0.2617484563018788,NEUTRAL
Cutibacterium acnes,1.09516004749743e-06,5.96862225886099e-06,-3.5565853203240527,DOWN
Malassezia restricta,9.99746578461046e-06,5.31572570986605e-05,-3.3459401046011745,DOWN
Escherichia coli,1.8480526998891e-05,9.59227353751961e-05,0.4476375760540918,NEUTRAL
Paracoccus sanguinis,2.00888868334163e-05,0.0001018459844112,0.5075374960036987,NEUTRAL
Dietzia lutea,2.26513541321641e-05,0.0001122271636548,-0.0748448977236435,NEUTRAL
Brachybacterium avium,2.36295379006749e-05,0.0001128479803972,-0.270732316993838,NEUTRAL
Thermomonas sp  SY21,2.38119591663889e-05,0.0001128479803972,0.7648514870716401,NEUTRAL
Stenotrophomonas acidaminiphila,3.52785160497842e-05,0.000163632265933,0.1389354521050698,NEUTRAL
Corynebacterium segmentosum,8.11265404849069e-05,0.0003609303229736,-2.275290940079368,DOWN
Staphylococcus haemolyticus,9.34928507481954e-05,0.0004076288292621,-0.3738858747350928,NEUTRAL
Brachybacterium vulturis,0.0001491958918864,0.0006377393025732,-0.2954859953002255,NEUTRAL
Luteimonas sp  YGD11 2,0.0002328636643336,0.0009762361312448,-0.4520304445016627,NEUTRAL
Gordonia sp  JH63,0.0005001264266155,0.0020190289074478,0.271183461985192,NEUTRAL
Gordonia terrae,0.00068762936324,0.0026768428783272,0.4728117641757183,NEUTRAL
Cloacibacterium normanense,0.0007543846728274,0.0028851905030944,0.601199495731187,NEUTRAL
Acinetobacter junii,0.0009361121643665,0.0035184905488259,-2.086073431639811,DOWN
Staphylococcus epidermidis,0.0011082189355543,0.0040947750500143,-2.5330794270324724,DOWN
Dietzia sp  oral taxon 368,0.0015661609689083,0.0056903848537003,-0.1811514534199059,NEUTRAL
Brevibacterium luteolum,0.0021581909720513,0.0075884779339869,-0.5773606608656277,NEUTRAL
Stenotrophomonas maltophilia,0.0044100671644416,0.0147906867976657,-0.0781324568974124,NEUTRAL
Cutibacterium granulosum,0.0046209136197306,0.0152630177136556,-2.670078045757986,DOWN
Staphylococcus arlettae,0.0058831903492866,0.0191423208379774,-1.402397505750189,DOWN
