feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Brachybacterium.sp..P6.10.X1	is_Rod	Rod	-0.00154768949144222	0.000300297195603392	41	41	7.6986696508576e-06	0.000332077339636303
Brachybacterium.vulturis	is_Rod	Rod	-0.00138578030484066	0.000271738622209958	41	41	9.13974329274229e-06	0.000332077339636303
Brachybacterium.avium	is_Rod	Rod	-0.00136017809649937	0.000262166038114584	41	41	6.90377523909075e-06	0.000332077339636303
Acinetobacter.indicus	is_Rod	Rod	0.0144429169640521	0.00300624169427038	41	41	2.31777608485917e-05	0.000631593983124125
Brachybacterium.sp..SGAir0954	is_Rod	Rod	-0.00171969478513584	0.000367496405523524	41	41	3.42415348671864e-05	0.000746465460104665
Malassezia.restricta	is_Rod	Rod	0.0149065789236568	0.00328532092082919	41	41	5.32629673535531e-05	0.000967610573589547
Brachybacterium.faecium	is_Rod	Rod	-0.00161800433853463	0.000375717362756433	41	41	0.000108394682211707	0.00148802003662341
Brachybacterium.ginsengisoli	is_Rod	Rod	-0.00158575243186905	0.000368438543304848	41	41	0.000109212479752177	0.00148802003662341
Serinicoccus.sp..JLT9	is_Rod	Rod	-0.00162903659130254	0.000401685746531047	41	41	0.000231897302586122	0.00192113803843443
Pseudomonas.stutzeri	is_Rod	Rod	0.0558421115397269	0.0135678379495129	41	41	0.00019342214292739	0.00192113803843443
Paracoccus.yeei	is_Rod	Rod	-0.00351781192815262	0.000863784958253725	41	41	0.000220311325928959	0.00192113803843443
Paracoccus.zhejiangensis	is_Rod	Rod	-0.00217773142217354	0.000539735898073627	41	41	0.000246751674661303	0.00192113803843443
Paracoccus.aminovorans	is_Rod	Rod	-0.00197111865596642	0.000487766293697498	41	41	0.000242130696948723	0.00192113803843443
Paracoccus.jeotgali	is_Rod	Rod	-0.00181236452872511	0.000437845619751931	41	41	0.000180169242609345	0.00192113803843443
Serinicoccus.marinus	is_Rod	Rod	-0.00192959363964976	0.000485685182260355	41	41	0.00029691767359604	0.00215760176146456
Ornithinimicrobium.sp..HY006	is_Rod	Rod	-0.00175862791805907	0.000446561373582213	41	41	0.0003293280495573	0.00218643681391533
Paracoccus.denitrificans	is_Rod	Rod	-0.00183996393263956	0.000468609021345208	41	41	0.000341003906757436	0.00218643681391533
Paracoccus.pantotrophus	is_Rod	Rod	-0.0019061607267709	0.000489322140276998	41	41	0.000373781289021569	0.00226345336129728
Paracoccus.sp..2251	is_Rod	Rod	-0.00240016921622209	0.000625806056750706	41	41	0.000446563493900048	0.00256186425447922
Serinicoccus.profundi	is_Rod	Rod	-0.002164594269107	0.000578382558016616	41	41	0.000586423806115369	0.00296346491600448
Serinicoccus.chungangensis	is_Rod	Rod	-0.00187387274182326	0.000497939154278457	41	41	0.000551872489302884	0.00296346491600448
Ornithinimicrobium.sp..AMA3305	is_Rod	Rod	-0.00201164541250227	0.000540534206355069	41	41	0.000623329388481104	0.00296346491600448
Rhodobacter.sphaeroides	is_Rod	Rod	-0.00196730200338019	0.000528774249083721	41	41	0.000625318285028468	0.00296346491600448
Micropruina.glycogenica	is_Rod	Rod	-0.00210609428374341	0.000569103868531302	41	41	0.000662394836454865	0.00300837654889918
Stenotrophomonas.acidaminiphila	is_Rod	Rod	-0.00145168708463008	0.000397607536489563	41	41	0.000765110642375723	0.0032984592970955
Paracoccus.sp..AK26	is_Rod	Rod	-0.00915460031852785	0.00251403300212358	41	41	0.000786788456187918	0.0032984592970955
Paracoccus.contaminans	is_Rod	Rod	-0.00294334097496944	0.000815559406297044	41	41	0.000863983934246016	0.00348793514195614
Kocuria.turfanensis	is_Rod	Rod	-0.00201839961888046	0.000564846480240029	41	41	0.000957223551720435	0.00353020940904295
Janibacter.melonis	is_Rod	Rod	-0.00278687700537859	0.000777604599674139	41	41	0.000928604528681837	0.00353020940904295
Lysobacter.oculi	is_Rod	Rod	-0.0015838846049458	0.000443893954126479	41	41	0.000971617268543931	0.00353020940904295
Brevundimonas.naejangsanensis	is_Rod	Rod	-0.00132138467211722	0.000371775276304954	41	41	0.00101113353266268	0.0035552759696849
Chryseobacterium.taklimakanense	is_Rod	Rod	-0.00140686966432449	0.000404131308869843	41	41	0.00124541032176105	0.00424217890849857
Nocardioides.sp..CF8	is_Rod	Rod	-0.00186513075089232	0.000538952849320729	41	41	0.00132024532542805	0.00434976244723039
Nocardioides.sp..JS614	is_Rod	Rod	-0.00179032164617969	0.000518781405905864	41	41	0.0013568066349159	0.00434976244723039
Nocardioides.sp..zg.579	is_Rod	Rod	-0.00177732950116378	0.000519094613762082	41	41	0.00146486331329055	0.00441462691758922
Kocuria.rosea	is_Rod	Rod	-0.002011999735006	0.000586346331222081	41	41	0.00143410885161346	0.00441462691758922
Ornithinimicrobium.flavum	is_Rod	Rod	-0.00308786811041733	0.000904133086713174	41	41	0.00150092254270592	0.00441462691758922
Phycicoccus.sp..HDW14	is_Rod	Rod	-0.00185438460523454	0.000544386046729458	41	41	0.001539044246499	0.00441462691758922
Nocardioides.sp..R.3366	is_Rod	Rod	-0.00170541258629529	0.00050692543724985	41	41	0.00173245200127763	0.00484198123434005
Nocardioides.seonyuensis	is_Rod	Rod	-0.00202985020676176	0.000616671312401159	41	41	0.00212114117250242	0.0057801096950691
Thermomonas.sp..SY21	is_Rod	Rod	-0.00208548482587826	0.000637752127212592	41	41	0.00225176964562172	0.00598641198470164
Nocardioides.sp..HDW12B	is_Rod	Rod	-0.00190047238794012	0.000583666864244496	41	41	0.00234038807225457	0.00607386428275591
Tessaracoccus.flavus	is_Rod	Rod	-0.00209230526182146	0.000648522386582332	41	41	0.00254089013056208	0.00635558927245512
Brachybacterium.saurashtrense	is_Rod	Rod	-0.00185128737882594	0.000574443126795639	41	41	0.0025655589723672	0.00635558927245512
Exiguobacterium.mexicanum	is_Rod	Rod	-0.00187369406643612	0.00058852193282309	41	41	0.00285524076208315	0.00691602762371251
Cutibacterium.acnes	is_Rod	Rod	0.0408103159114237	0.0129863092175327	41	41	0.00319428695926634	0.00756907127304416
Propioniciclava.sp..HDW11	is_Rod	Rod	-0.00318738426885223	0.00102698583461509	41	41	0.00354974667687662	0.00823239122935217
