Species,prevalence
Bradyrhizobium sp. BTAi1,0.75
Cutibacterium acnes,0.5833333333333334
Plasmodium relictum,0.25
Brevibacterium luteolum,0.0
Microbacterium sp. 1.5R,0.0
Kocuria sp. KD4,0.0
Kocuria sp. BT304,0.0
Kocuria indica,0.0
Kocuria palustris,0.0
Kocuria turfanensis,0.0
Micrococcus luteus,0.0
Glutamicibacter creatinolyticus,0.0
Rothia mucilaginosa,0.0
Microbacterium sp. Y-01,0.0
Microbacterium sp. PAMC 28756,0.0
Microbacterium sp. TPU 3598,0.0
Microbacterium sp. CBA3102,0.0
Brevibacterium sp. CS2,0.0
Kocuria flava,0.0
Microbacterium oxydans,0.0
Microbacterium aurum,0.0
Microbacterium sediminis,0.0
Curtobacterium flaccumfaciens,0.0
Agrococcus carbonis,0.0
Cellulomonas sp. Y8,0.0
Serinicoccus marinus,0.0
Janibacter indicus,0.0
Janibacter limosus,0.0
Kocuria rosea,0.0
Pseudescherichia vulneris,0.0
Brachybacterium sp. SGAir0954,0.0
Weissella paramesenteroides,0.0
Lysinibacillus sphaericus,0.0
Paenibacillus odorifer,0.0
Solibacillus silvestris,0.0
Sporosarcina psychrophila,0.0
Rummeliibacillus stabekisii,0.0
Staphylococcus aureus,0.0
Staphylococcus hominis,0.0
Staphylococcus epidermidis,0.0
Staphylococcus cohnii,0.0
Staphylococcus capitis,0.0
Staphylococcus lugdunensis,0.0
Staphylococcus saprophyticus,0.0
Staphylococcus nepalensis,0.0
Staphylococcus simulans,0.0
Macrococcus sp. IME1552,0.0
Macrococcus caseolyticus,0.0
Listeria monocytogenes,0.0
Enterococcus hirae,0.0
Enterococcus faecalis,0.0
Vagococcus teuberi,0.0
Lactococcus lactis,0.0
Lactobacillus fermentum,0.0
Carnobacterium maltaromaticum,0.0
Aerococcus viridans,0.0
Leuconostoc mesenteroides,0.0
Brevibacterium linens,0.0
Kytococcus sedentarius,0.0
Bacillus circulans,0.0
Zymoseptoria tritici,0.0
Chryseobacterium haifense,0.0
Chryseobacterium carnis,0.0
Empedobacter brevis,0.0
Pedobacter sp. KBS0701,0.0
Sphingobacterium mizutaii,0.0
Sphingobacterium thalpophilum,0.0
Hymenobacter sp. PAMC 26554,0.0
Hymenobacter sp. BRD72,0.0
Fusarium oxysporum,0.0
Fusarium verticillioides,0.0
Cercospora beticola,0.0
Aspergillus oryzae,0.0
Chryseobacterium taklimakanense,0.0
Malassezia restricta,0.0
Leishmania mexicana,0.0
Pseudomonas sp. J380,0.0
Kocuria rhizophila,0.0
Glutamicibacter mishrai,0.0
Plantibacter flavus,0.0
Streptomyces sp. 769,0.0
Actinomyces radicidentis,0.0
Actinomyces naeslundii,0.0
Komagataeibacter rhaeticus,0.0
Actinomyces oris,0.0
Chryseobacterium balustinum,0.0
Chryseobacterium indoltheticum,0.0
Dermacoccus nishinomiyaensis,0.0
Modestobacter marinus,0.0
Corynebacterium matruchotii,0.0
Corynebacterium variabile,0.0
Corynebacterium segmentosum,0.0
Corynebacterium sanguinis,0.0
Corynebacterium flavescens,0.0
Gordonia bronchialis,0.0
Gordonia sp. JH63,0.0
Gordonia terrae,0.0
Dietzia sp. oral taxon 368,0.0
Friedmanniella sagamiharensis,0.0
Geodermatophilus obscurus,0.0
Bifidobacterium longum,0.0
Chryseobacterium sp. 17S1E7,0.0
Arabia massiliensis,0.0
Rubrobacter indicoceani,0.0
Oscillatoria nigro-viridis,0.0
Chroococcidiopsis thermalis,0.0
Deinococcus sp. NW-56,0.0
Deinococcus wulumuqiensis,0.0
Deinococcus radiodurans,0.0
Deinococcus gobiensis,0.0
Deinococcus swuensis,0.0
Chryseobacterium sp. H6466,0.0
Chryseobacterium sp. F5649,0.0
Lysinibacillus sp. YS11,0.0
Bacillus cereus,0.0
Enterobacter sp. E76,0.0
Pseudomonas oryzihabitans,0.0
Acinetobacter sp. NEB149,0.0
Acinetobacter schindleri,0.0
Acinetobacter baumannii,0.0
Acinetobacter pittii,0.0
Acinetobacter nosocomialis,0.0
Acinetobacter lwoffii,0.0
Acinetobacter johnsonii,0.0
Acinetobacter radioresistens,0.0
Acinetobacter ursingii,0.0
Acinetobacter haemolyticus,0.0
Acinetobacter bereziniae,0.0
Acinetobacter soli,0.0
Acinetobacter junii,0.0
Psychrobacter sp. P11F6,0.0
Moraxella osloensis,0.0
Moraxella catarrhalis,0.0
Pseudomonas stutzeri,0.0
Pseudomonas balearica,0.0
Pseudomonas luteola,0.0
Pseudomonas sp. THAF7b,0.0
Pseudomonas sp. R2A2,0.0
Pseudomonas sp. LTJR-52,0.0
Pseudomonas sp. NIBRBAC000502773,0.0
Pseudomonas sp. BJP69,0.0
Pseudomonas aeruginosa,0.0
Acinetobacter sp. ACNIH1,0.0
Proteus mirabilis,0.0
Serratia liquefaciens,0.0
Kosakonia cowanii,0.0
Enterobacter cloacae,0.0
Enterobacter hormaechei,0.0
Enterobacter ludwigii,0.0
Klebsiella oxytoca,0.0
Klebsiella pneumoniae,0.0
Klebsiella michiganensis,0.0
Klebsiella sp. FDAARGOS_511,0.0
Citrobacter freundii,0.0
Citrobacter werkmanii,0.0
Leclercia sp. 29361,0.0
Leclercia adecarboxylata,0.0
Atlantibacter hermannii,0.0
Serratia rubidaea,0.0
Salmonella enterica,0.0
Escherichia coli,0.0
Pantoea sp. PSNIH1,0.0
Pantoea sp. SO10,0.0
Pantoea agglomerans,0.0
Pantoea vagans,0.0
Pantoea dispersa,0.0
Pantoea eucalypti,0.0
Erwinia gerundensis,0.0
Erwinia billingiae,0.0
Mixta calida,0.0
Pseudomonas putida,0.0
Pseudomonas fluorescens,0.0
Bacillus sp. BD59S,0.0
Pseudomonas protegens,0.0
Ochrobactrum anthropi,0.0
Ochrobactrum quorumnocens,0.0
Azospirillum brasilense,0.0
Azospirillum lipoferum,0.0
Paracoccus sp. Arc7-R13,0.0
Paracoccus yeei,0.0
Paracoccus zhejiangensis,0.0
Paracoccus jeotgali,0.0
Sphingobium yanoikuyae,0.0
Achromobacter sp. B7,0.0
Achromobacter spanius,0.0
Massilia oculi,0.0
Cupriavidus oxalaticus,0.0
Cupriavidus metallidurans,0.0
Ralstonia solanacearum,0.0
Polynucleobacter necessarius,0.0
Comamonas kerstersii,0.0
Comamonas aquatica,0.0
Delftia tsuruhatensis,0.0
Neisseria subflava,0.0
Neisseria mucosa,0.0
Neisseria gonorrhoeae,0.0
Azospira sp. I09,0.0
Dechlorosoma suillum,0.0
Lacrimispora sphenoides,0.0
Methylobacterium brachiatum,0.0
Agrobacterium tumefaciens,0.0
Rhizobium flavum,0.0
Stenotrophomonas rhizophila,0.0
Pseudomonas azotoformans,0.0
Pseudomonas rhodesiae,0.0
Pseudomonas lundensis,0.0
Pseudomonas fragi,0.0
Pseudomonas moraviensis,0.0
Pseudomonas umsongensis,0.0
Pseudomonas koreensis,0.0
Pseudomonas graminis,0.0
Pseudomonas rhizosphaerae,0.0
Stenotrophomonas maltophilia,0.0
Stenotrophomonas sp. SAU14A_NAIMI4_5,0.0
Stenotrophomonas sp. LM091,0.0
Rhizobium sp. S41,0.0
Stenotrophomonas sp. 364,0.0
Stenotrophomonas sp. G4,0.0
Xanthomonas campestris,0.0
Xanthomonas euvesicatoria,0.0
Lysobacter oculi,0.0
Candidatus Portiera aleyrodidarum,0.0
Aeromonas media,0.0
Brevundimonas naejangsanensis,0.0
Brevundimonas diminuta,0.0
Brevundimonas vancanneytii,0.0
Rhizobium sp. Khangiran2,0.0
Streptomyces sp. ICC4,0.0
